episode_id,step,cart_velocity,pole_angular_velocity,pole_angle,cart_position,motor_command,reward,done
25000000,0,0.04709238,0,-0.0027777776,0,0.5737523,-7.6154356E-05,0
25000000,1,0.05515417,0.2365407,-0.13103035,0.0009191895,0.5737523,-0.7289663,0
25000000,2,0.06321596,0.030905265,-0.12939079,0.0019727782,0.5737523,-0.17478998,0
25000000,3,0.07127775,0.023097869,-0.12816541,0.0031607666,-0.18734008,-0.1674619,0
25000000,4,0.07041393,0.018439988,-0.12718713,0.0043343506,-0.18734008,-0.16306603,0
25000000,5,0.06955011,0.013842868,-0.12645274,0.00549353,0.96857584,-0.15974924,0
25000000,6,0.08844611,0.0024816613,-0.12632109,0.006967651,-0.015036225,-0.15757532,0
25000000,7,0.08844611,-0.0023059598,-0.12644343,0.008441772,-0.015036225,-0.15788345,0
25000000,8,0.08844611,-0.007071629,-0.12681858,0.009915894,-0.015036225,-0.15928164,0
25000000,9,0.08844611,-0.0118246805,-0.1274459,0.011390015,-0.015036225,-0.16176973,0
25000000,10,0.08844611,-0.01657396,-0.12832516,0.012864136,-0.015036225,-0.16535592,0
25000000,11,0.08844611,-0.021328319,-0.12945668,0.014338257,-0.015036225,-0.17005678,0
25000000,12,0.08844611,-0.026096728,-0.13084115,0.015812378,-0.015036225,-0.1758972,0
25000000,13,0.08844611,-0.030887593,-0.13247977,0.017286498,-0.015036225,-0.18291022,0
25000000,14,0.08844611,-0.035709817,-0.13437426,0.01876062,-0.015036225,-0.19113782,0
25000000,15,0.08844611,-0.04057198,-0.13652666,0.020234741,-0.015036225,-0.20063038,0
25000000,16,0.08844611,-0.045481946,-0.13893956,0.021708863,0.9703517,-0.21144652,0
25000000,17,0.10739703,-0.056872435,-0.14195673,0.02349878,0.9703517,-0.2315103,0
25000000,18,0.12634794,-0.06828873,-0.14557956,0.025604615,0.9703517,-0.25613186,0
25000000,19,0.14529884,-0.07973944,-0.14980987,0.028026246,0.9703517,-0.28548002,0
25000000,20,0.16424976,-0.091241546,-0.15465038,0.030763794,0.9703517,-0.31977218,0
25000000,21,0.18320067,-0.10280149,-0.16010417,0.03381714,0.9703517,-0.35924423,0
25000000,22,0.20215158,-0.11443118,-0.16617493,0.03718628,0.9703517,-0.4041767,0
25000000,23,0.22110249,-0.1261425,-0.172867,0.040871337,0.9703517,-0.45488796,0
25000000,24,0.2400534,-0.1379378,-0.18018483,0.04487219,0.9703517,-0.51170737,0
25000000,25,0.2590043,-0.14982685,-0.18813339,0.049188964,0.9703517,-0.57501715,0
25000000,26,0.2779552,-0.16180941,-0.19671763,0.053821534,0.9703517,-0.64520353,0
25000000,27,0.29690608,-0.17389187,-0.20594288,0.05877002,0.9703517,-0.72270525,0
25000000,28,0.315857,-0.1860692,-0.21581416,0.0640343,-0.048212767,-0.807952,0
25000000,29,0.315857,-0.19282,-0.22604358,0.06929858,-0.048212767,-0.8784911,0
25000000,30,0.315857,-0.19982943,-0.23664488,0.07456286,-0.048212767,-0.9548035,0
25000000,31,0.315857,-0.20709784,-0.24763176,0.079827145,-0.048212767,-1.0373003,0
25000000,32,0.315857,-0.21462385,-0.2590179,0.08509143,-0.048212767,-1.1264088,0
25000000,33,0.315857,-0.22240534,-0.2708169,0.09035571,-0.048212767,-1.2225779,0
25000000,34,0.315857,-0.23043962,-0.28304207,0.09561999,-0.048212767,-1.3262776,0
25000000,35,0.315857,-0.23872074,-0.29570663,0.10088427,0.2867788,-1.4379869,0
25000000,36,0.3181691,-0.24776122,-0.30885077,0.106187135,0.2867788,-1.5609438,0
25000000,37,0.3204812,-0.25700128,-0.3224851,0.11152844,0.2867788,-1.6931216,0
25000000,38,0.3227933,-0.2664325,-0.3366198,0.11690833,0.2867788,-1.8350499,0
25000000,39,0.3251054,-0.27603826,-0.3512641,0.122326784,0.2867788,-1.9872289,0
25000000,40,0.32741752,-0.2858018,-0.36642635,0.12778369,0.2867788,-2.1501658,0
25000000,41,0.32972962,-0.29570585,-0.38211405,0.13327917,-0.009339511,-2.3243735,0
25000000,42,0.32972962,-0.30541316,-0.39831674,0.13877466,-0.009339511,-2.5082755,0
25000000,43,0.32972962,-0.31525487,-0.4150415,0.14427014,-0.009339511,-2.7043962,0
